CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 81 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 82 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 83 
CurentGameTime: 6.5183983743190765, LastFrame: 48620, CarlaTime: 3906.5587224029005, PlatformTimestamp: 2023-12-16 13:17:28.053452, FrameCount: 84 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 85 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 86 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 87 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 88 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 89 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 90 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 91 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 92 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 93 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 94 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 95 
CurentGameTime: 6.7065500766038895, LastFrame: 48621, CarlaTime: 3906.7468741051853, PlatformTimestamp: 2023-12-16 13:17:28.247388, FrameCount: 96 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 97 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 98 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 99 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 100 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 101 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 102 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 103 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 104 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 105 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 106 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 107 
CurentGameTime: 6.897336885333061, LastFrame: 48622, CarlaTime: 3906.9376609139144, PlatformTimestamp: 2023-12-16 13:17:28.437438, FrameCount: 108 
CurentGameTime: 7.0879829823970795, LastFrame: 48623, CarlaTime: 3907.1283070109785, PlatformTimestamp: 2023-12-16 13:17:28.629448, FrameCount: 109 
