timestamp,can_id,dlc,payload_hex,label,attack_type,attack_id,recv_time_iso
1774016615.516533,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:35.516836Z
1774016615.709669,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:35.709993Z
1774016615.761902,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:35.762185Z
1774016615.765762,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:35.766045Z
1774016615.770266,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:35.770547Z
1774016615.963265,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:35.963578Z
1774016616.015447,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:36.015726Z
1774016616.018627,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:36.018867Z
1774016616.022996,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:36.023250Z
1774016616.217544,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:36.217791Z
1774016616.271003,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:36.271275Z
1774016616.275135,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:36.275392Z
1774016616.279368,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:36.279672Z
1774016616.472336,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:36.472620Z
1774016616.531459,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:36.532101Z
1774016616.534768,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:36.535055Z
1774016616.537958,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:36.538216Z
1774016616.732561,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:36.732783Z
1774016616.78087,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:36.781255Z
1774016616.783734,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:36.783996Z
1774016616.787767,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:36.788013Z
1774016616.982269,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:36.982578Z
1774016617.039355,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:37.039655Z
1774016617.042337,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:37.042608Z
1774016617.04544,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:37.045812Z
1774016617.240406,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:37.240741Z
1774016617.292367,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:37.292697Z
