timestamp,type,detail
1781098118.752955,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.773300,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44460248947143555, IDS2=0.2519265413284302)"
1781098118.773300,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.824410,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.43560075759887695, IDS2=0.2519265413284302)"
1781098118.824410,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.876570,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4404514729976654, IDS2=0.2519265413284302)"
1781098118.876570,FSA,[FSA] Rule violation: Conflict->Conflict
1781098118.952761,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4399821162223816, IDS2=0.2519265413284302)"
1781098118.952761,FSA,[FSA] Rule violation: Conflict->Conflict
1781098119.020550,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44714421033859253, IDS2=0.2519265413284302)"
1781098119.020550,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.135825,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.541178822517395, IDS2=0.22831515967845917)"
1781098142.135825,Signal Logic,"[SignalLogic]Speed jump: prev=3172, curr=3603, Δ=431"
1781098142.135825,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.151444,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.6314646005630493, IDS2=0.22830909490585327)"
1781098142.151444,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.179482,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.517734169960022, IDS2=0.22635966539382935)"
1781098142.179482,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.231163,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4739329218864441, IDS2=0.2245456576347351)"
1781098142.231163,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.271130,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4647572636604309, IDS2=0.22371891140937805)"
1781098142.271130,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.322897,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4512959420681, IDS2=0.22337768971920013)"
1781098142.322897,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.368893,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4488128125667572, IDS2=0.22328034043312073)"
1781098142.368893,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.397225,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44721537828445435, IDS2=0.2232634574174881)"
1781098142.397225,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.437559,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44012004137039185, IDS2=0.22326864302158356)"
1781098142.437559,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.521462,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4367924630641937, IDS2=0.2232750505208969)"
1781098142.521462,FSA,[FSA] Rule violation: Conflict->Conflict
1781098142.549417,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.45186957716941833, IDS2=0.22327890992164612)"
1781098142.549417,FSA,[FSA] Rule violation: Conflict->Conflict
